event_id,academic_year,semester,event_name,event_type,start_date,end_date,is_mandatory,description,source_url
11,2026,1,수강신청 취소기간,COURSE_REGISTRATION,2026-03-10,2026-03-11,False,1학기 수강 과목 취소 포기 신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
12,2026,1,수업일수 1/4선,ADMINISTRATIVE,2026-03-28,2026-03-28,False,공식 수업일수 1/4 기준선,https://portal.hs.ac.kr/kor/4837/subview.do
13,2026,1,중간강의평가,FINAL_COURSE_EVALUATION,2026-04-13,2026-04-17,True,1학기 수업 만족도 중간 강의평가 기간,https://portal.hs.ac.kr/kor/4837/subview.do
14,2026,1,개교기념일,ADMINISTRATIVE,2026-04-19,2026-04-19,False,한신대학교 개교기념일 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
15,2026,1,중간고사기간,EXAM,2026-04-21,2026-04-27,True,1학기 중간고사 시험 기간,https://portal.hs.ac.kr/kor/4837/subview.do
16,2026,1,근로자의 날,ADMINISTRATIVE,2026-05-01,2026-05-01,False,근로자의 날 휴무 (수업 미실시),https://portal.hs.ac.kr/kor/4837/subview.do
17,2026,1,어린이날,ADMINISTRATIVE,2026-05-05,2026-05-05,False,어린이날 공휴일 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
18,2026,1,전공신청기간(계열입학생/자유전공학부),ADMINISTRATIVE,2026-05-18,2026-05-22,False,전공 결정 신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
19,2026,1,다전공 및 재입학 신청기간,ADMINISTRATIVE,2026-05-19,2026-05-21,False,복수전공 부전공 융합전공 및 재입학 신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
20,2026,1,부처님오신날,ADMINISTRATIVE,2026-05-24,2026-05-24,False,석가탄신일 공휴일 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
21,2026,1,대체휴일,ADMINISTRATIVE,2026-05-25,2026-05-25,False,부처님오신날 대체공휴일 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
22,2026,1,기말강의평가,FINAL_COURSE_EVALUATION,2026-06-02,2026-06-25,True,1학기 기말 강의평가 참여 기간 (성적 열람 권한 획득 필수),https://portal.hs.ac.kr/kor/4837/subview.do
23,2026,1,지방선거,ADMINISTRATIVE,2026-06-03,2026-06-03,False,제9회 전국동시지방선거일 법정 공휴일 지정 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
24,2026,1,현충일,ADMINISTRATIVE,2026-06-06,2026-06-06,False,현충일 공휴일 지정 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
25,2026,1,기말고사기간,EXAM,2026-06-09,2026-06-15,True,1학기 기말고사 시험 기간,https://portal.hs.ac.kr/kor/4837/subview.do
26,2026,1,여름계절학기,COURSE_REGISTRATION,2026-06-16,2026-07-06,False,여름방학 계절수업 운영 기간,https://portal.hs.ac.kr/kor/4837/subview.do
27,2026,1,성적입력기간,GRADE_INQUIRY,2026-06-16,2026-06-25,True,교수자의 1학기 성적 입력 및 등록 기간,https://portal.hs.ac.kr/kor/4837/subview.do
28,2026,1,성적조회 이의신청 및 정정기간,GRADE_INQUIRY,2026-06-26,2026-06-29,False,성적 공시 이의 신청 및 성적 최종 정정 기간,https://portal.hs.ac.kr/kor/4837/subview.do
29,2026,2,복학/휴학기간,ADMINISTRATIVE,2026-07-07,2026-07-09,False,2학기 복학 및 휴학 신청 접수 기간,https://portal.hs.ac.kr/kor/4837/subview.do
30,2026,2,전과신청기간,ADMINISTRATIVE,2026-07-09,2026-07-12,False,학과 전과 신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
31,2026,2,예비수강신청기간(재학/복학),PRE_REGISTRATION,2026-07-27,2026-07-29,True,2학기 희망과목 예비 담기 장바구니 수강신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
32,2026,2,2학기 수강신청기간(재학/복학),COURSE_REGISTRATION,2026-08-04,2026-08-07,True,재학생 및 복학생 대상 2학기 본 수강신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
33,2026,2,후기졸업일,ADMINISTRATIVE,2026-08-14,2026-08-14,False,2025학년도 후기 학위수여식 졸업일자,https://portal.hs.ac.kr/kor/4837/subview.do
34,2026,2,광복절,ADMINISTRATIVE,2026-08-15,2026-08-15,False,광복절 공휴일 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
35,2026,2,대체휴일,ADMINISTRATIVE,2026-08-17,2026-08-17,False,광복절 대체공휴일 지정 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
36,2026,2,2학기 등록기간(등록금 납부),TUITION_PAYMENT,2026-08-24,2026-08-26,True,2학기 등록금 최종 납부 기간,https://portal.hs.ac.kr/kor/4837/subview.do
37,2026,2,2학기 개강일 및 수업시작일,ADMINISTRATIVE,2026-09-01,2026-09-01,True,2학기 공식 개강 및 수업 개시,https://portal.hs.ac.kr/kor/4837/subview.do
38,2026,2,수강신청취소기간,COURSE_REGISTRATION,2026-09-08,2026-09-09,False,2학기 수강 포기 및 취소 접수 기간,https://portal.hs.ac.kr/kor/4837/subview.do
39,2026,2,추석연휴,ADMINISTRATIVE,2026-09-24,2026-09-26,False,추석 민속 명절 연휴 지정 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
40,2026,2,수업일수 1/4선,ADMINISTRATIVE,2026-09-28,2026-09-28,False,2학기 공식 수업일수 1/4 기준선,https://portal.hs.ac.kr/kor/4837/subview.do
41,2026,2,개천절,ADMINISTRATIVE,2026-10-03,2026-10-03,False,개천절 국경일 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
42,2026,2,대체휴일,ADMINISTRATIVE,2026-10-05,2026-10-05,False,개천절 대체공휴일 지정 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
43,2026,2,한글날,ADMINISTRATIVE,2026-10-09,2026-10-09,False,한글날 공휴일 지정 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
44,2026,2,중간강의평가,FINAL_COURSE_EVALUATION,2026-10-12,2026-10-16,True,2학기 수업 만족도 중간 강의평가 기간,https://portal.hs.ac.kr/kor/4837/subview.do
45,2026,2,중간고사기간,EXAM,2026-10-20,2026-10-26,True,2학기 중간고사 시험 실시 기간,https://portal.hs.ac.kr/kor/4837/subview.do
46,2026,2,전공신청기간(계열입학생/자유전공학부),ADMINISTRATIVE,2026-11-16,2026-11-20,False,2학기 전공신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
47,2026,2,다전공 및 재입학 신청기간,ADMINISTRATIVE,2026-11-17,2026-11-19,False,복수전공 부전공 융합전공 및 재입학 신청 기간,https://portal.hs.ac.kr/kor/4837/subview.do
48,2026,2,기말강의평가,FINAL_COURSE_EVALUATION,2026-12-02,2026-12-23,True,2학기 기말 강의평가 참여 기간,https://portal.hs.ac.kr/kor/4837/subview.do
49,2026,2,기말고사기간,EXAM,2026-12-08,2026-12-14,True,2학기 기말고사 시험 실시 기간,https://portal.hs.ac.kr/kor/4837/subview.do
50,2026,2,성적입력기간,GRADE_INQUIRY,2026-12-15,2026-12-23,True,교수자의 2학기 성적 평가 및 입력 기간,https://portal.hs.ac.kr/kor/4837/subview.do
51,2026,2,겨울계절학기,COURSE_REGISTRATION,2026-12-15,2027-01-06,False,겨울방학 계절수업 운영 기간,https://portal.hs.ac.kr/kor/4837/subview.do
52,2026,2,성적조회 이의신청 및 정정기간,GRADE_INQUIRY,2026-12-24,2026-12-28,False,성적 최종 공시 및 정정 접수 기간,https://portal.hs.ac.kr/kor/4837/subview.do
53,2026,2,성탄절,ADMINISTRATIVE,2026-12-25,2026-12-25,False,크리스마스 공휴일 휴무,https://portal.hs.ac.kr/kor/4837/subview.do
